"","CELLCODE","maxm2LAU2","COMMUNE","m2_sh_of_LAU2","Pop2021EU","SumPop2021EU","Pop2021EU_sh_of_LAU2"
"1635","1kmE4014N2975","0704","Rambrouch",0.0111111111111111,0,6322,0
"1636","1kmE4014N2976","0704","Rambrouch",0.0111111111111111,127,6322,0.0200885795634293
"1637","1kmE4014N2977","0704","Rambrouch",0.0111111111111111,1014,6322,0.160392280923758
"1638","1kmE4014N2978","0704","Rambrouch",0.0111111111111111,197,6322,0.0311610249920911
"1854","1kmE4014N2984","0801","Boulaide",0.027027027027027,0,1439,0
"1851","1kmE4014N2985","0801","Boulaide",0.027027027027027,5,1439,0.00347463516330785
"1641","1kmE4015N2973","0704","Rambrouch",0.0111111111111111,0,6322,0
"1642","1kmE4015N2974","0704","Rambrouch",0.0111111111111111,0,6322,0
"1643","1kmE4015N2975","0704","Rambrouch",0.0111111111111111,133,6322,0.0210376463144574
"1644","1kmE4015N2976","0704","Rambrouch",0.0111111111111111,68,6322,0.0107560898449858
"1645","1kmE4015N2977","0704","Rambrouch",0.0111111111111111,140,6322,0.0221448908573236
"1646","1kmE4015N2978","0704","Rambrouch",0.0111111111111111,57,6322,0.00901613413476748
"1647","1kmE4015N2979","0704","Rambrouch",0.0111111111111111,144,6322,0.0227776020246757
"1648","1kmE4015N2980","0704","Rambrouch",0.0111111111111111,0,6322,0
"1649","1kmE4015N2981","0704","Rambrouch",0.0111111111111111,0,6322,0
"1650","1kmE4015N2982","0704","Rambrouch",0.0111111111111111,121,6322,0.0191395128124011
"1859","1kmE4015N2984","0801","Boulaide",0.027027027027027,0,1439,0
"1855","1kmE4015N2985","0801","Boulaide",0.027027027027027,0,1439,0
"1861","1kmE4015N2986","0801","Boulaide",0.027027027027027,0,1439,0
"1654","1kmE4016N2973","0704","Rambrouch",0.0111111111111111,0,6322,0
"1655","1kmE4016N2974","0704","Rambrouch",0.0111111111111111,129,6322,0.0204049351471053
"1656","1kmE4016N2975","0704","Rambrouch",0.0111111111111111,675,6322,0.106770009490668
"1657","1kmE4016N2976","0704","Rambrouch",0.0111111111111111,0,6322,0
"1658","1kmE4016N2977","0704","Rambrouch",0.0111111111111111,313,6322,0.0495096488453021
"1659","1kmE4016N2978","0704","Rambrouch",0.0111111111111111,1,6322,0.000158177791838026
"1660","1kmE4016N2979","0704","Rambrouch",0.0111111111111111,0,6322,0
"1661","1kmE4016N2980","0704","Rambrouch",0.0111111111111111,0,6322,0
"1662","1kmE4016N2981","0704","Rambrouch",0.0111111111111111,0,6322,0
"1663","1kmE4016N2982","0704","Rambrouch",0.0111111111111111,14,6322,0.00221448908573236
"1867","1kmE4016N2983","0801","Boulaide",0.027027027027027,0,1439,0
"1858","1kmE4016N2984","0801","Boulaide",0.027027027027027,0,1439,0
"1863","1kmE4016N2985","0801","Boulaide",0.027027027027027,0,1439,0
"1877","1kmE4016N2986","0801","Boulaide",0.027027027027027,0,1439,0
"2027","1kmE4016N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2028","1kmE4016N2988","0806","Lac de la Haute Sûre",0.0175438596491228,6,2224,0.00269784172661871
"403","1kmE4017N2945","0209","Pétange",0.0526315789473684,152,20694,0.00734512419058664
"1671","1kmE4017N2973","0704","Rambrouch",0.0111111111111111,0,6322,0
"1672","1kmE4017N2974","0704","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644
"1673","1kmE4017N2975","0704","Rambrouch",0.0111111111111111,0,6322,0
"1674","1kmE4017N2976","0704","Rambrouch",0.0111111111111111,0,6322,0
"1675","1kmE4017N2977","0704","Rambrouch",0.0111111111111111,138,6322,0.0218285352736476
"1676","1kmE4017N2978","0704","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657
"1664","1kmE4017N2979","0704","Rambrouch",0.0111111111111111,0,6322,0
"1665","1kmE4017N2980","0704","Rambrouch",0.0111111111111111,0,6322,0
"1639","1kmE4017N2981","0704","Rambrouch",0.0111111111111111,16,6322,0.00253084466940841
"1640","1kmE4017N2982","0704","Rambrouch",0.0111111111111111,0,6322,0
"1850","1kmE4017N2983","0801","Boulaide",0.027027027027027,0,1439,0
"1857","1kmE4017N2984","0801","Boulaide",0.027027027027027,6,1439,0.00416956219596942
"1864","1kmE4017N2985","0801","Boulaide",0.027027027027027,141,1439,0.0979847116052815
"1870","1kmE4017N2986","0801","Boulaide",0.027027027027027,0,1439,0
"2029","1kmE4017N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2017","1kmE4017N2988","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2032","1kmE4017N2989","0806","Lac de la Haute Sûre",0.0175438596491228,19,2224,0.0085431654676259
"2033","1kmE4017N2990","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2030","1kmE4017N2991","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"391","1kmE4018N2944","0209","Pétange",0.0526315789473684,999,20694,0.0482748622789214
"390","1kmE4018N2945","0209","Pétange",0.0526315789473684,844,20694,0.0407847685319416
"394","1kmE4018N2946","0209","Pétange",0.0526315789473684,0,20694,0
"1622","1kmE4018N2971","0703","Ell",0.0416666666666667,0,1590,0
"1634","1kmE4018N2972","0703","Ell",0.0416666666666667,0,1590,0
"1682","1kmE4018N2973","0704","Rambrouch",0.0111111111111111,0,6322,0
"1683","1kmE4018N2974","0704","Rambrouch",0.0111111111111111,220,6322,0.0347991142043657
"1693","1kmE4018N2975","0704","Rambrouch",0.0111111111111111,9,6322,0.00142360012654223
"1694","1kmE4018N2976","0704","Rambrouch",0.0111111111111111,0,6322,0
"1699","1kmE4018N2977","0704","Rambrouch",0.0111111111111111,20,6322,0.00316355583676052
"1700","1kmE4018N2978","0704","Rambrouch",0.0111111111111111,62,6322,0.00980702309395761
"1697","1kmE4018N2979","0704","Rambrouch",0.0111111111111111,477,6322,0.0754508067067384
"1698","1kmE4018N2980","0704","Rambrouch",0.0111111111111111,0,6322,0
"1690","1kmE4018N2981","0704","Rambrouch",0.0111111111111111,0,6322,0
"1868","1kmE4018N2982","0801","Boulaide",0.027027027027027,4,1439,0.00277970813064628
"1860","1kmE4018N2983","0801","Boulaide",0.027027027027027,0,1439,0
"1852","1kmE4018N2984","0801","Boulaide",0.027027027027027,0,1439,0
"1853","1kmE4018N2985","0801","Boulaide",0.027027027027027,119,1439,0.0826963168867269
"1862","1kmE4018N2986","0801","Boulaide",0.027027027027027,0,1439,0
"2011","1kmE4018N2987","0806","Lac de la Haute Sûre",0.0175438596491228,2,2224,0.000899280575539568
"2025","1kmE4018N2988","0806","Lac de la Haute Sûre",0.0175438596491228,420,2224,0.188848920863309
"2013","1kmE4018N2989","0806","Lac de la Haute Sûre",0.0175438596491228,83,2224,0.0373201438848921
"2014","1kmE4018N2990","0806","Lac de la Haute Sûre",0.0175438596491228,63,2224,0.0283273381294964
"2015","1kmE4018N2991","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2003","1kmE4018N2992","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"250","1kmE4019N2942","0202","Differdange",0.0357142857142857,208,27820,0.00747663551401869
"249","1kmE4019N2943","0202","Differdange",0.0357142857142857,372,27820,0.013371675053918
"397","1kmE4019N2944","0209","Pétange",0.0526315789473684,207,20694,0.0100028993911279
"393","1kmE4019N2945","0209","Pétange",0.0526315789473684,3145,20694,0.151976418285493
"392","1kmE4019N2946","0209","Pétange",0.0526315789473684,483,20694,0.0233400985792983
"1619","1kmE4019N2968","0703","Ell",0.0416666666666667,63,1590,0.039622641509434
"1612","1kmE4019N2969","0703","Ell",0.0416666666666667,0,1590,0
"1614","1kmE4019N2970","0703","Ell",0.0416666666666667,142,1590,0.0893081761006289
"1627","1kmE4019N2971","0703","Ell",0.0416666666666667,164,1590,0.10314465408805
"1631","1kmE4019N2972","0703","Ell",0.0416666666666667,0,1590,0
"1626","1kmE4019N2973","0703","Ell",0.0416666666666667,0,1590,0
"1625","1kmE4019N2974","0703","Ell",0.0416666666666667,0,1590,0
"1719","1kmE4019N2975","0704","Rambrouch",0.0111111111111111,0,6322,0
"1720","1kmE4019N2976","0704","Rambrouch",0.0111111111111111,0,6322,0
"1712","1kmE4019N2977","0704","Rambrouch",0.0111111111111111,0,6322,0
"1678","1kmE4019N2978","0704","Rambrouch",0.0111111111111111,11,6322,0.00173995571021829
"1651","1kmE4019N2979","0704","Rambrouch",0.0111111111111111,0,6322,0
"1652","1kmE4019N2980","0704","Rambrouch",0.0111111111111111,0,6322,0
"1653","1kmE4019N2981","0704","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657
"1883","1kmE4019N2982","0801","Boulaide",0.027027027027027,4,1439,0.00277970813064628
"1884","1kmE4019N2983","0801","Boulaide",0.027027027027027,37,1439,0.0257123002084781
"1876","1kmE4019N2984","0801","Boulaide",0.027027027027027,0,1439,0
"1885","1kmE4019N2985","0801","Boulaide",0.027027027027027,0,1439,0
"1879","1kmE4019N2986","0801","Boulaide",0.027027027027027,0,1439,0
"2026","1kmE4019N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2018","1kmE4019N2988","0806","Lac de la Haute Sûre",0.0175438596491228,147,2224,0.0660971223021583
"2005","1kmE4019N2989","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2006","1kmE4019N2990","0806","Lac de la Haute Sûre",0.0175438596491228,346,2224,0.155575539568345
"2020","1kmE4019N2991","0806","Lac de la Haute Sûre",0.0175438596491228,39,2224,0.0175359712230216
"2001","1kmE4019N2992","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"237","1kmE4020N2941","0202","Differdange",0.0357142857142857,0,27820,0
"251","1kmE4020N2942","0202","Differdange",0.0357142857142857,0,27820,0
"260","1kmE4020N2943","0202","Differdange",0.0357142857142857,4,27820,0.000143781452192667
"398","1kmE4020N2944","0209","Pétange",0.0526315789473684,324,20694,0.015656712090461
"408","1kmE4020N2945","0209","Pétange",0.0526315789473684,3442,20694,0.166328404368416
"396","1kmE4020N2946","0209","Pétange",0.0526315789473684,1228,20694,0.0593408717502658
"399","1kmE4020N2947","0209","Pétange",0.0526315789473684,1114,20694,0.0538320286073258
"105","1kmE4020N2950","0104","Käerjeng",0.0256410256410256,5,13954,0.000358320194926186
"107","1kmE4020N2951","0104","Käerjeng",0.0256410256410256,0,13954,0
"1588","1kmE4020N2965","0701","Beckerich",0.03125,26,2817,0.00922967696130635
"1583","1kmE4020N2966","0701","Beckerich",0.03125,0,2817,0
"1570","1kmE4020N2967","0701","Beckerich",0.03125,0,2817,0
"1624","1kmE4020N2968","0703","Ell",0.0416666666666667,22,1590,0.0138364779874214
"1615","1kmE4020N2969","0703","Ell",0.0416666666666667,208,1590,0.130817610062893
"1616","1kmE4020N2970","0703","Ell",0.0416666666666667,106,1590,0.0666666666666667
"1618","1kmE4020N2971","0703","Ell",0.0416666666666667,0,1590,0
"1617","1kmE4020N2972","0703","Ell",0.0416666666666667,19,1590,0.0119496855345912
"1628","1kmE4020N2973","0703","Ell",0.0416666666666667,372,1590,0.233962264150943
"1621","1kmE4020N2974","0703","Ell",0.0416666666666667,0,1590,0
"1632","1kmE4020N2975","0703","Ell",0.0416666666666667,0,1590,0
"1724","1kmE4020N2976","0704","Rambrouch",0.0111111111111111,0,6322,0
"1721","1kmE4020N2977","0704","Rambrouch",0.0111111111111111,0,6322,0
"1717","1kmE4020N2978","0704","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644
