DATAFLOW,FREQ: Fréquence,SPECIFICATION: Spécification,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2015,33286,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2016,33939,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2017,34378,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2018,35040,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2019,35382,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2020,36218,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2021,36228,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2022,36177,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM10004: Esch-sur-Alzette,2023,36625,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2015,5016,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2016,5171,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2017,5311,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2018,5321,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2019,5408,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2020,5443,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2021,5500,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2022,5544,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11008: Steinsel,2023,5539,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2015,1201,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2016,1239,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2017,1317,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2018,1394,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2019,1468,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2020,1504,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2021,1520,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2022,1520,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12004: Heffingen,2023,1549,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM01004: Weiswampach,2015,1572,,,,,,0: Zéro
