"","COMMUNE","CANTON","DISTRICT","LAU2","NSdistance","EWdistance","Maxdistance"
"1","Bettendorf","Diekirch","Diekirch","0601",5682,6921,8112
"2","Feulen","Diekirch","Diekirch","0606",6536,6003,6785
"3","Käerjeng","Capellen","Luxembourg","0104",9233,7953,9234
"4","Bissen","Mersch","Luxembourg","0402",6572,6415,6750
"5","Rumelange","Esch-sur-Alzette","Luxembourg","0212",3123,4704,4712
"6","Nommern","Mersch","Luxembourg","0410",6191,6678,6942
"7","Rambrouch","Redange","Diekirch","0704",10893,12104,13423
"8","Garnich","Capellen","Luxembourg","0102",5606,5733,6459
"9","Esch-sur-Sûre","Wiltz","Diekirch","0802",8207,13818,14047
"10","Dalheim","Remich","Grevenmacher","1202",6138,7657,8110
"11","Esch-sur-Alzette","Esch-sur-Alzette","Luxembourg","0204",6415,4481,6586
"12","Bech","Echternach","Grevenmacher","1002",4884,9800,10109
"13","Schifflange","Esch-sur-Alzette","Luxembourg","0214",4492,3471,4707
"14","Walferdange","Luxembourg","Luxembourg","0310",2570,4830,4981
"15","Lac de la Haute Sûre","Wiltz","Diekirch","0806",7614,13602,13735
"16","Mersch","Mersch","Luxembourg","0409",10922,8768,11496
"17","Tandel","Vianden","Diekirch","0901",8332,9107,9227
"18","Bettembourg","Esch-sur-Alzette","Luxembourg","0201",6466,6422,7699
"19","Consdorf","Echternach","Grevenmacher","1004",6196,9048,10355
"20","Junglinster","Grevenmacher","Grevenmacher","1105",8302,11956,13017
"21","Boulaide","Wiltz","Diekirch","0801",6305,8697,8749
"22","Grevenmacher","Grevenmacher","Grevenmacher","1104",5096,7270,7903
"23","Vichten","Redange","Diekirch","0709",4983,5407,5664
"24","Remich","Remich","Grevenmacher","1205",3030,3075,3747
"25","Strassen","Luxembourg","Luxembourg","0309",5861,4182,5936
"26","Waldbillig","Echternach","Grevenmacher","1008",6905,6350,7769
"27","Stadtbredimus","Remich","Grevenmacher","1207",4490,5108,5400
"28","Clervaux","Clervaux","Diekirch","0501",15307,12972,17048
"29","Diekirch","Diekirch","Diekirch","0603",7087,4538,7194
"30","Kiischpelt","Wiltz","Diekirch","0805",9243,6963,9918
"31","Erpeldange-sur-Sûre","Diekirch","Diekirch","0604",7581,5875,8845
"32","Differdange","Esch-sur-Alzette","Luxembourg","0202",5660,5948,6299
"33","Steinsel","Luxembourg","Luxembourg","0308",5674,9571,9639
"34","Steinfort","Capellen","Luxembourg","0110",5429,5578,6088
"35","Wahl","Redange","Diekirch","0710",8134,5844,8791
"36","Wiltz","Wiltz","Diekirch","0807",10852,7356,11705
"37","Echternach","Echternach","Grevenmacher","1005",7112,7510,7735
"38","Sandweiler","Luxembourg","Luxembourg","0306",3652,3965,4157
"39","Helperknapp","Mersch","Luxembourg","0403",10691,7048,10953
"40","Mondercange","Esch-sur-Alzette","Luxembourg","0208",4634,7924,8070
"41","Mertert","Grevenmacher","Grevenmacher","1107",5597,5212,5747
"42","Schengen","Remich","Grevenmacher","1206",8825,6129,8978
"43","Waldbredimus","Remich","Grevenmacher","1208",4805,4253,5120
"44","Grosbous","Redange","Diekirch","0705",6794,5201,7260
"45","Wormeldange","Grevenmacher","Grevenmacher","1108",8240,6304,9035
"46","Habscht","Capellen","Luxembourg","0103",6188,11622,11716
"47","Schuttrange","Luxembourg","Luxembourg","0307",4950,5691,5717
"48","Fischbach","Mersch","Luxembourg","0404",6692,6240,6857
"49","Lenningen","Remich","Grevenmacher","1203",5326,7837,7837
"50","Goesdorf","Wiltz","Diekirch","0804",6745,9536,9600
"51","Bourscheid","Diekirch","Diekirch","0602",10022,8650,10022
"52","Ettelbruck","Diekirch","Diekirch","0605",5867,5656,6389
"53","Betzdorf","Grevenmacher","Grevenmacher","1101",7552,7256,8411
"54","Beckerich","Redange","Diekirch","0701",5920,8853,8969
"55","Flaxweiler","Grevenmacher","Grevenmacher","1103",7924,8694,8798
"56","Troisvierges","Clervaux","Diekirch","0504",8476,7114,9432
"57","Vianden","Vianden","Diekirch","0903",3598,5626,5882
